Número de identificação da publicação;Link permanente;Publicar mensagem;Tipo;Países;Idiomas;Publicado;Direcionamento do público;Lifetime Post Total Reach;Lifetime Post organic reach;Lifetime Post Paid Reach;Lifetime Post Total Impressions;Lifetime Post Organic Impressions;Lifetime Post Paid Impressions;Lifetime Engaged Users;Lifetime Matched Audience Targeting Consumers on Post;Lifetime Matched Audience Targeting Consumptions on Post;Lifetime Negative Feedback from Users;Lifetime Negative Feedback;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime Post Paid Impressions by people who have liked your Page;Lifetime Paid reach of a post by people who like your Page;Lifetime People who have liked your Page and engaged with your post;Lifetime Organic views to 95%...25;Lifetime Organic views to 95%...26;Lifetime Paid views to 95%...27;Lifetime Paid views to 95%...28;Lifetime Organic Video Views...29;Lifetime Organic Video Views...30;Lifetime Paid Video Views...31;Lifetime Paid Video Views...32;Lifetime Average time video viewed;Lifetime Video length;Descrição;share;like;comment
417092451820846_480834162113341;https://www.facebook.com/lojascitycol/photos/a.418868384976586/480834162113341/?type=3;O amor é um sentimento que nunca sai de moda! Comemore esse #diadosnamorados com muita paixão e estilo, vem dar uma olhada na nova coleção que a gente preparou para essa data especial: http://bit.ly/22xEUbh <3 Em todas as lojas a partir de 02/06  #NaCitycolTem;Photo;NA;NA;2016-06-01T06:49:21Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;89;19670;120
417092451820846_480828188780605;https://www.facebook.com/lojascitycol/photos/a.480828172113940/480828188780605/?type=3;Vestido  R$ 29,99 Cód.: 876903  Tam: M/ G/ GG;Photo;NA;NA;2016-06-01T06:43:52Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;58;8
417092451820846_477781165751974;https://www.facebook.com/lojascitycol/photos/a.418868384976586/477781165751974/?type=3;A coleção mais apaixonante do ano chegará com tudo na próxima quinta-feira (2/6)! Prepare-se para o #diadosnamorados com estilo, personalidade e amor. #NaCitytcolTem;Photo;NA;NA;2016-05-24T08:00:00Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;37;7701;45
417092451820846_475899835940107;https://www.facebook.com/lojascitycol/photos/a.475899272606830/475899835940107/?type=3;Seu Estilo Citycol;Photo;NA;NA;2016-05-18T12:52:15Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;1;67;7
417092451820846_471782096351881;https://www.facebook.com/lojascitycol/photos/a.418868384976586/471782096351881/?type=3;"Nós amamos tanto a beleza, que ser mãe é uma das coisas mais bonitas que já vimos! Com qual look Citycol você deixaria ela ainda mais linda? Compartilha com a gente e não esqueça de marcar a sua mãe. <3  Uma dica: você pode encontrar o visual perfeito para ela bem aqui: http://bit.ly/1Teg0He ;) #NaCitycolTem";Photo;NA;NA;2016-05-05T12:29:12Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;132;7153;27
417092451820846_468774353319322;https://www.facebook.com/lojascitycol/photos/a.418868384976586/468774353319322/?type=3;Para você que estava ansiosa pela coleção de Dia das Mães, olha ela aí! :D Gostou? Então corre, porque a partir desta quinta 28/04 essas peças lindas estarão em todas as nossas lojas e você já pode garantir o presente da sua mãe. Confere aqui: http://bit.ly/1Teg0He <3  #DiaDasMãesCitycol;Photo;NA;NA;2016-04-27T10:41:22Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;141;10424;248
417092451820846_468770606653030;https://www.facebook.com/lojascitycol/photos/a.468770589986365/468770606653030/?type=3;Vestido Listrado R$ 29,99 Cód.: 877011 Tam.: M / G / GG;Photo;NA;NA;2016-04-27T10:37:43Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;6;79;13
417092451820846_466969500166474;https://www.facebook.com/lojascitycol/photos/a.418868384976586/466969500166474/?type=3;Quer deixar a sua mãe mais bonita e na moda do que ela já é? Então fica de olho na nossa próxima coleção feita especialmente para ela! <3 #NaCitycolTem #EmBreve #DiaDasMaes;Photo;NA;NA;2016-04-22T12:41:50Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;31;3815;26
417092451820846_463933087136782;https://www.facebook.com/lojascitycol/photos/a.418868384976586/463933087136782/?type=3;A febre do jeans nunca sai de moda! Dê uma olhada nos looks incríveis que temos para você ousar com vários estilos diferentes. Coleção disponível em todas as lojas a partir de quinta-feira 14/04.  Clica no link: http://bit.ly/1T4kEdl  #NaCitycolTem;Photo;NA;NA;2016-04-13T10:07:06Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;103;10556;206
417092451820846_463928633803894;https://www.facebook.com/lojascitycol/photos/a.463928610470563/463928633803894/?type=3;Colete Franjas R$ 24,99 Tam.: P / M / G Cód: 876795  Calça Jeans R$ 59,99 Tam.: 40 / 42 / 44 / 46 Cód: 977148  Baby Look R$ 15,99 Tam.: P / M / G / GG Cód: 977132;Photo;NA;NA;2016-04-13T09:59:21Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;39;23
417092451820846_463318027198288;https://www.facebook.com/lojascitycol/posts/463318027198288;A Mell Nasgon fala sobre a moda high low e conta vários looks que encontrou na Citycol. E, o melhor, o tema é plus size! Dá uma olhada no vídeo e se inspire para as suas próximas comprinhas =).  Quem quiser seguir ela no Instagram, anota aí @mellzitanasgon.;Link;NA;NA;2016-04-11T11:29:07Z;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;6;63;4
